ID,3BNC117,8ANC131,VRC03,CH103,2F5,VRC06,VRC-PG20,VRC-PG04,17b,PG16,VRC01,8ANC195,VRC-CH31,b12,b13,NIH45-46,10E8,VRC23,4E10,F105,PG9
JQ362421,0.063,0.683,0.291,0.167,50,50,0.114,0.455,50,0.186,0.468,0.937,0.071,50,50,0.128,0.294,5.270,0.456,50,3.14
AY835434,0.022,0.058,0.047,0.101,50,0.736,0.037,0.151,50,50,0.069,1.770,0.319,50,50,0.016,0.019,2.590,0.381,50,50
HM215312,0.071,15.900,0.171,1.490,0.280,50,0.028,0.048,50,50,0.148,0.848,0.039,0.063,26.900,0.157,0.050,2.530,0.784,50,50
DQ187019,0.020,0.798,50,0.139,0.249,50,0.035,0.015,50,0.007,0.080,50,0.031,14.900,50,0.043,0.136,1.670,1.360,50,0.029
AY423963,0.082,6.220,0.139,0.741,50,50,1.250,0.137,50,1.10,0.221,17.700,2.590,50,50,0.058,50,50,16.10,50,0.639
AY124970,50,50,50,50,0.010,50,50,50,50,50,50,0.304,50,50,50,50,0.365,50,4.680,50,50
AY835450,0.062,14.500,0.040,1.010,50,0.109,0.092,0.072,50,0.393,0.069,0.304,0.216,50,50,0.029,1.100,50,8.750,50,0.246
JX512902,0.029,5.300,0.677,0.072,0.051,0.130,0.019,50,50,0.006,0.094,50,0.049,50,50,0.055,0.031,50,0.161,50,0.038
DQ187018,0.033,0.850,50,0.174,1.44,50,0.043,0.046,50,0.011,0.124,50,0.033,1.580,50,0.074,0.347,1.640,2.880,50,0.058
EU123924,0.019,0.103,0.023,0.033,2.47,0.701,0.167,0.059,0.4,50,0.108,0.108,0.079,0.032,0.100,0.025,0.113,3.390,0.412,2.92,50
DQ187023,0.002,0.076,0.263,0.018,1.10,2.95,0.003,0.056,50,0.004,0.005,50,0.013,0.041,29.200,0.006,0.289,0.113,0.618,50,0.031
EU513195,0.022,4.540,0.540,50,50,50,0.014,0.014,50,0.246,0.035,50,0.005,2.510,50,0.250,0.064,23.100,0.802,50,0.322
JQ715401,0.248,50,0.435,4.980,6.98,50,0.404,0.224,50,0.006,0.597,2.930,0.179,50,50,0.567,11.300,3.780,1.280,50,0.017
AY835436,50,50,3.870,50,50,50,50,0.362,50,0.002,0.552,0.348,50,2.210,50,0.358,0.156,7.070,1.370,50,0.010
HM215332,50,42.500,50,0.248,N/A,N/A,0.092,50,50,N/A,50,50,50,50,49.700,50,1.100,50,12.5,N/A,N/A
AF407160,0.002,0.014,50,0.020,50,50,0.009,0.012,50,0.001,0.013,50,0.007,50,50,0.015,1.610,0.105,8.990,50,0.005
HM215336,0.033,19.200,0.182,0.093,0.219,50,0.473,0.931,50,35.3,0.125,1.610,50,0.031,50,0.071,0.015,15.50,0.781,2.30,0.033
K03455,0.037,0.026,0.044,0.020,0.040,50,0.007,0.168,2.280,50,0.022,2.830,0.127,0.001,0.064,0.009,0.008,1.150,0.043,0.167,0.553
EU513183,0.019,0.042,0.027,0.046,4.30,0.680,0.030,0.090,50,0.233,0.063,50,0.022,50,50,0.036,0.198,50,0.726,50,0.379
DQ411852,0.035,11.400,50,0.049,50,50,0.018,0.023,50,0.023,0.088,0.627,3.180,1.410,50,0.029,0.023,50,0.023,50,0.023
EF117259,0.124,9.500,8.090,0.103,50,50,0.885,0.160,50,0.002,0.341,1.220,0.215,1.600,50,0.189,0.457,2.050,5.450,50,0.008
