ID,3TC,ABC,AZT,D4T,DDC,DDI,DLV,EFV,NVP,TDF,FTC
96108,36.2,10.7,29.1,1.8,29.0,13.2,97.3,391.6,88.4,0.6,36.4
96110,24.4,12.4,41.9,,28.1,25.6,156.5,31.5,169.6,1.2,55.8
96112,24.4,12.8,62.6,8.8,19.5,21.8,156.5,412.3,169.6,1.4,55.8
96118,48.2,6.2,3.4,0.9,1.6,1.4,161.0,71.5,76.3,3.2,51.1
96120,1.2,1.3,,0.1,0.2,0.2,130.7,62.3,87.1,2.0,1.1
96122,2.6,0.8,15.0,2.3,0.5,1.4,156.5,41.6,169.6,4.4,4.0
96136,5.2,1.9,92.4,1.2,0.4,0.7,164.2,603.3,122.0,6.8,5.4
96140,2.6,1.9,14.6,1.0,1.7,1.1,161.0,688.3,76.3,4.5,4.7
96156,49.6,10.2,2.1,1.8,6.8,5.4,3.1,1.3,9.1,1.7,48.8
96162,72.9,13.3,88.8,2.4,1.6,5.4,157.2,603.3,122.0,2.7,55.8
96164,27.5,,,3.3,4.0,4.3,110.7,373.2,46.9,1.8,71.2
96174,5.6,2.5,,1.6,1.5,1.1,0.3,494.5,90.0,2.2,4.7
96188,41.2,5.5,,1.0,3.9,0.8,0.2,0.5,0.4,1.3,36.4
96190,52.5,29.4,82.2,8.6,10.9,5.1,240.8,66.3,174.2,12.1,51.1
96208,3.4,4.6,16.9,1.6,2.4,1.7,3.7,3.2,5.1,2.9,3.4
96244,20.2,46.1,132.7,28.7,5.2,11.6,169.0,73.3,98.9,21.8,48.8
96246,18.2,8.8,3.9,23.4,16.6,5.4,104.9,603.3,122.0,2.0,11.1
96252,7.1,1.1,18.4,2.3,1.1,1.8,52.9,330.9,108.6,4.8,22.4
96256,6.4,3.8,,3.4,1.9,2.7,36.2,341.9,169.6,2.1,42.0
96260,1.2,2.1,3.0,0.7,0.4,0.8,0.2,691.4,98.9,1.8,1.1
96262,3.3,2.0,105.7,2.9,0.6,1.6,1.1,0.6,2.4,2.7,6.6
96268,32.0,6.7,18.8,4.1,5.3,3.6,71.9,55.0,255.6,4.2,33.1
96283,8.0,8.3,8.1,12.0,27.3,9.8,228.8,725.1,255.6,2.0,23.7
96321,32.0,0.8,0.9,0.6,1.1,0.7,228.8,22.9,255.6,0.8,33.1
96378,44.6,1.6,4.7,2.5,8.8,5.1,4.5,456.2,87.9,1.4,55.8
96388,32.0,33.8,4.4,2.6,9.0,11.7,228.8,725.1,255.6,1.7,33.1
96390,24.4,3.0,,,,,103.8,412.3,169.6,0.7,85.1
96392,24.4,16.0,4.2,11.2,16.2,10.3,153.6,412.3,169.6,1.3,55.8
96394,48.2,7.5,11.2,2.0,7.5,1.7,12.4,30.2,76.3,2.5,51.1
96396,14.5,2.4,17.6,1.8,4.2,1.0,97.3,391.6,88.4,2.5,10.2
96409,3.7,2.8,59.9,2.0,0.6,1.4,169.0,32.8,98.9,10.3,1.3
96417,,,,,,,,,,,24.0
96429,7.0,5.1,47.5,2.0,0.8,2.1,164.2,603.3,122.0,6.0,24.2
96449,49.6,6.9,2.0,1.3,0.8,2.4,0.5,,98.9,1.1,48.8
96453,1.7,0.3,0.8,0.6,0.5,0.3,0.7,0.4,0.7,2.9,1.2
96465,47.5,5.8,3.2,1.1,2.1,2.4,1.4,0.8,0.9,3.1,46.0
96469,32.0,5.5,2.5,1.0,1.7,1.6,0.6,1.2,2.2,2.5,33.1
96481,47.5,2.4,2.6,0.9,3.3,1.5,0.3,27.0,90.0,2.1,46.0
96483,48.2,11.3,16.6,0.9,6.2,2.5,161.0,511.3,76.3,3.8,51.1
96487,72.9,12.9,16.3,1.1,9.1,3.7,61.4,21.2,36.7,0.9,55.8
96506,2.6,0.4,,0.6,0.9,0.7,0.5,0.7,0.7,2.3,3.9
96508,49.6,4.9,1.0,0.7,1.3,1.8,1.9,0.7,0.9,0.9,48.8
96510,4.9,6.2,42.7,4.0,1.4,3.4,2.4,3.4,1.1,7.9,4.3
96526,3.6,2.5,16.8,1.1,0.8,1.0,18.9,17.6,122.0,5.4,0.8
96528,48.2,2.6,2.4,1.2,2.1,5.3,0.7,1.0,0.3,1.9,43.1
96530,2.4,0.8,23.1,1.8,2.0,3.7,3.2,2.3,7.0,2.9,9.5
96536,6.1,2.7,10.6,1.6,1.1,1.6,3.3,32.6,76.3,3.2,7.0
96538,47.5,1.5,0.5,0.5,3.6,0.6,0.7,26.0,90.0,0.3,46.0
96552,48.2,3.4,0.7,0.7,1.6,2.0,161.0,688.3,76.3,0.9,51.1
96592,72.9,5.9,,3.2,1.7,2.1,164.2,603.3,122.0,0.8,55.8
96594,41.2,13.0,83.9,3.0,6.7,2.5,196.4,337.8,110.3,2.3,55.8
96596,48.2,2.2,1.7,0.6,0.4,1.0,0.5,0.9,11.4,2.2,51.1
96602,72.9,12.8,13.0,1.9,4.0,3.9,89.6,448.2,122.0,2.4,55.8
96604,4.4,0.8,3.1,0.5,1.2,1.3,166.3,437.1,118.5,4.6,7.4
96636,72.9,7.4,2.1,1.3,0.8,1.7,2.4,0.6,11.6,3.2,55.8
96644,52.5,1.3,0.6,0.5,4.8,1.1,33.0,16.0,174.2,0.8,51.1
96682,1.7,1.5,,0.6,2.0,1.1,161.0,85.7,76.3,0.8,5.8
96714,8.6,3.3,18.4,2.8,2.0,2.7,1.2,0.7,2.7,3.3,6.5
96716,3.8,2.3,,1.7,2.2,1.7,156.5,262.2,169.6,7.5,1.0
96728,3.0,1.9,8.2,0.7,1.6,,166.3,437.1,118.5,4.0,7.6
96764,5.9,2.0,10.0,1.9,2.3,1.4,15.6,69.0,255.6,4.6,7.1
96768,5.5,26.4,56.9,,3.0,4.8,26.0,26.7,50.6,,12.2
96945,32.0,5.1,11.6,0.9,16.3,2.4,0.7,0.7,5.3,4.5,24.0
96959,2.7,1.3,4.9,1.0,1.6,1.2,97.3,391.6,88.4,1.6,3.0
96961,9.5,3.8,54.3,1.2,1.8,1.3,6.1,32.3,122.0,3.4,17.3
96969,3.1,3.7,53.4,0.7,3.0,1.1,0.3,0.7,0.7,2.2,8.3
96971,6.3,1.9,19.0,1.7,1.5,1.1,0.2,0.4,0.5,3.4,5.3
97007,2.4,1.8,6.5,2.2,0.7,2.9,0.7,5.9,84.7,1.3,1.7
97017,1.2,0.7,2.1,0.6,2.3,0.7,28.2,7.5,76.3,0.4,5.3
97021,34.4,8.7,20.1,1.1,5.9,1.8,97.3,19.3,88.4,1.8,36.4
97023,72.9,3.4,1.2,0.7,1.7,1.9,70.9,44.1,122.0,1.7,55.8
97035,47.5,8.6,16.9,1.5,4.2,0.9,0.1,0.5,0.4,1.6,44.0
97045,3.0,2.8,,0.8,2.0,0.4,1.7,0.7,2.2,16.5,9.0
97075,2.3,,19.1,0.6,1.3,2.3,178.5,35.2,79.1,7.5,15.6
97077,11.1,8.3,,11.5,25.5,4.5,25.8,23.6,88.4,5.9,28.4
97079,12.9,,,4.3,8.3,19.9,110.7,24.8,46.9,4.5,12.3
97109,8.9,9.7,,1.3,0.8,1.8,161.0,688.3,76.3,3.6,10.7
97165,2.2,2.6,1.8,1.5,1.3,1.2,1.2,1.1,1.4,2.3,1.6
97179,3.6,2.8,1.5,2.0,1.8,0.7,12.1,83.6,98.9,1.3,4.0
97211,47.4,8.3,1.1,0.7,1.2,3.5,13.8,1.8,10.3,1.3,61.4
97851,6.3,2.5,4.7,1.2,1.7,3.2,9.8,6.4,88.4,1.8,2.9
97857,4.3,1.8,,1.8,4.6,1.7,142.2,7.1,98.9,2.6,5.4
